Subjects	Age	Model	Phenotype	Predictor	Freq	N	Effect	SE	P.value	FDR
Cases	Younger	2	CA4	H1_beta_dosage	1.077	163	0.671	0.22	0.00274729185627542	0.13187000910122
All	Older	3	CA4	H1_beta_dosage*footyrs	1.125	211	0.044	0.028	0.125373209961076	0.316732319901666
All	Younger	3	CA4	H1_beta_dosage*footyrs	1.117	245	0.098	0.044	0.0257263815891227	0.184455822182373
Cases	Older	3	CA4	H1_beta_dosage*footyrs	1.098	172	0.033	0.035	0.3432684758985	0.568168511832
Cases	Younger	3	CA4	H1_beta_dosage*footyrs	1.077	163	0.043	0.054	0.436357000536414	0.644935826778749
All	NA	4	CA4	H1_beta_dosage*stratum	1.127	537	-0.229	0.191	0.231272497802804	0.559514047096111
Cases	NA	4	CA4	H1_beta_dosage*stratum	1.098	372	-0.393	0.244	0.107818308467711	0.369662771889295
All	Older	1	entorhinal	H1_beta_dosage	1.13	253	-0.182	0.153	0.234307305925919	0.401669667301575
All	Younger	1	entorhinal	H1_beta_dosage	1.123	284	0.04	0.138	0.770248498701166	0.833461713382885
Cases	Older	1	entorhinal	H1_beta_dosage	1.096	194	-0.283	0.186	0.130962053615696	0.318499060571926
Cases	Younger	1	entorhinal	H1_beta_dosage	1.1	178	0.268	0.186	0.15284752351075	0.333485505841636
All	Older	2	entorhinal	H1_beta_dosage	1.125	211	-0.251	0.178	0.160111699918075	0.349334618003073
All	Younger	2	entorhinal	H1_beta_dosage	1.117	245	0.031	0.162	0.850020609705153	0.941986654454489
Cases	Older	2	entorhinal	H1_beta_dosage	1.098	172	-0.328	0.203	0.108451485223829	0.281451631454122
Cases	Younger	2	entorhinal	H1_beta_dosage	1.077	163	0.406	0.211	0.056157711331426	0.227636570429686
All	Older	3	entorhinal	H1_beta_dosage*footyrs	1.125	211	0.016	0.032	0.614126236725331	0.775738404284628
All	Younger	3	entorhinal	H1_beta_dosage*footyrs	1.117	245	0.102	0.039	0.00973773890783414	0.0950119792907145
Cases	Older	3	entorhinal	H1_beta_dosage*footyrs	1.098	172	0.021	0.038	0.587552817874951	0.762230682648585
Cases	Younger	3	entorhinal	H1_beta_dosage*footyrs	1.077	163	0.06	0.055	0.281077715521892	0.539669213802033
All	NA	4	entorhinal	H1_beta_dosage*stratum	1.127	537	-0.038	0.198	0.846792031665047	0.846792031665047
Cases	NA	4	entorhinal	H1_beta_dosage*stratum	1.098	372	-0.301	0.254	0.237108613987154	0.559514047096111
All	Older	1	inforbfront	H1_beta_dosage	1.13	253	-0.278	0.144	0.0556223675405867	0.190705260139154
All	Younger	1	inforbfront	H1_beta_dosage	1.123	284	-0.038	0.138	0.781370356296455	0.833461713382885
Cases	Older	1	inforbfront	H1_beta_dosage	1.096	194	-0.254	0.168	0.132707941904969	0.318499060571926
Cases	Younger	1	inforbfront	H1_beta_dosage	1.1	178	0.051	0.18	0.775874972536173	0.833461713382885
All	Older	2	inforbfront	H1_beta_dosage	1.125	211	-0.313	0.165	0.0594070531510837	0.227636570429686
All	Younger	2	inforbfront	H1_beta_dosage	1.117	245	-0.177	0.161	0.271074269634515	0.520201884658092
Cases	Older	2	inforbfront	H1_beta_dosage	1.098	172	-0.208	0.184	0.260295908929638	0.520201884658092
Cases	Younger	2	inforbfront	H1_beta_dosage	1.077	163	-0.027	0.201	0.895222083671775	0.941986654454489
All	Older	3	inforbfront	H1_beta_dosage*footyrs	1.125	211	0.039	0.028	0.165491746036155	0.397180190486772
All	Younger	3	inforbfront	H1_beta_dosage*footyrs	1.117	245	0.072	0.036	0.0483382144758804	0.193352857903522
Cases	Older	3	inforbfront	H1_beta_dosage*footyrs	1.098	172	0.04	0.032	0.21516804836372	0.469457560066298
Cases	Younger	3	inforbfront	H1_beta_dosage*footyrs	1.077	163	0.042	0.05	0.398453784258017	0.637526054812827
All	NA	4	inforbfront	H1_beta_dosage*stratum	1.127	537	-0.093	0.193	0.629510000645693	0.719440000737935
Cases	NA	4	inforbfront	H1_beta_dosage*stratum	1.098	372	-0.162	0.245	0.509414590274193	0.712391504401281
All	Older	1	infpar	H1_beta_dosage	1.13	253	-0.162	0.143	0.257999282196992	0.427033294670883
All	Younger	1	infpar	H1_beta_dosage	1.123	284	-0.04	0.138	0.773949758859171	0.833461713382885
Cases	Older	1	infpar	H1_beta_dosage	1.096	194	-0.153	0.166	0.357537313138042	0.572059701020867
