Subjects	Age	Model	Phenotype	Predictor	Freq	N	Effect	SE	P.value	FDR
Cases	Younger	2	CA4	H1_gamma_dosage	1.1	163	0.238	0.175	0.17614918924004	0.499195492536141
All	Older	3	CA4	H1_gamma_dosage*footyrs	1.06	211	0.057	0.028	0.0402300033184066	0.621848034335873
All	Younger	3	CA4	H1_gamma_dosage*footyrs	1.095	245	-0.042	0.033	0.204640596091446	0.621848034335873
Cases	Older	3	CA4	H1_gamma_dosage*footyrs	1.032	172	0.04	0.034	0.242181182105004	0.621848034335873
Cases	Younger	3	CA4	H1_gamma_dosage*footyrs	1.1	163	-0.04	0.037	0.269992240013554	0.621848034335873
All	NA	4	CA4	H1_gamma_dosage*stratum	1.082	537	-0.466	0.181	0.0103640321621932	0.14687519568805
Cases	NA	4	CA4	H1_gamma_dosage*stratum	1.072	372	-0.224	0.214	0.296322578745838	0.459803529407325
All	Older	1	entorhinal	H1_gamma_dosage	1.073	253	-0.298	0.143	0.0386516211891446	0.207229139287591
All	Younger	1	entorhinal	H1_gamma_dosage	1.091	284	0.196	0.131	0.134943408016698	0.373413494076461
Cases	Older	1	entorhinal	H1_gamma_dosage	1.046	194	-0.315	0.169	0.0636270953769604	0.277645507099464
Cases	Younger	1	entorhinal	H1_gamma_dosage	1.101	178	0.111	0.163	0.496794013440317	0.615153112338379
All	Older	2	entorhinal	H1_gamma_dosage	1.06	211	-0.27	0.161	0.0950918739963045	0.428386052696684
All	Younger	2	entorhinal	H1_gamma_dosage	1.095	245	0.105	0.15	0.482325148517909	0.787550921989401
Cases	Older	2	entorhinal	H1_gamma_dosage	1.032	172	-0.26	0.18	0.149371108198799	0.499195492536141
Cases	Younger	2	entorhinal	H1_gamma_dosage	1.1	163	0.163	0.176	0.355964829213855	0.683452472090602
All	Older	3	entorhinal	H1_gamma_dosage*footyrs	1.06	211	0.031	0.029	0.285013682403942	0.621848034335873
All	Younger	3	entorhinal	H1_gamma_dosage*footyrs	1.095	245	0.002	0.032	0.955865094206652	0.984201355092433
Cases	Older	3	entorhinal	H1_gamma_dosage*footyrs	1.032	172	0.003	0.038	0.932541150465264	0.984201355092433
Cases	Younger	3	entorhinal	H1_gamma_dosage*footyrs	1.1	163	0.002	0.037	0.95962354691947	0.984201355092433
All	NA	4	entorhinal	H1_gamma_dosage*stratum	1.082	537	-0.394	0.184	0.032698249668996	0.16040255072386
