Subjects	Age	Model	Phenotype	Predictor	Freq	N	Effect	SE	P.value	FDR
Cases	Younger	2	CA4	H2_gamma_dosage	0.406	127	-0.538	0.172	0.00228894856677631	0.0761678127506472
All	Older	3	CA4	H2_gamma_dosage*footyrs	0.339	192	-0.07	0.028	0.0143384082234976	0.172060898681971
All	Younger	3	CA4	H2_gamma_dosage*footyrs	0.379	200	-0.002	0.037	0.967049005336599	0.967049005336599
Cases	Older	3	CA4	H2_gamma_dosage*footyrs	0.379	156	-0.041	0.032	0.204418180399108	0.583969057793211
Cases	Younger	3	CA4	H2_gamma_dosage*footyrs	0.406	127	0.015	0.04	0.708039949450841	0.849647939341009
All	NA	4	CA4	H2_gamma_dosage*stratum	0.333	537	0.339	0.171	0.0473286377497018	0.184151117865272
Cases	NA	4	CA4	H2_gamma_dosage*stratum	0.346	372	0.316	0.198	0.111000866450089	0.198123353745299
All	Older	1	entorhinal	H2_gamma_dosage	0.34	226	0.131	0.146	0.371232753382807	0.524093298893375
All	Younger	1	entorhinal	H2_gamma_dosage	0.391	232	-0.226	0.129	0.0813720243658462	0.230664584692643
Cases	Older	1	entorhinal	H2_gamma_dosage	0.379	173	0.278	0.177	0.116927858901325	0.255115328511982
Cases	Younger	1	entorhinal	H2_gamma_dosage	0.396	140	-0.287	0.161	0.0776461463426736	0.230664584692643
All	Older	2	entorhinal	H2_gamma_dosage	0.339	192	0.186	0.167	0.267713358287908	0.51343649710268
All	Younger	2	entorhinal	H2_gamma_dosage	0.379	200	-0.258	0.146	0.079033271878276	0.349577344778318
Cases	Older	2	entorhinal	H2_gamma_dosage	0.379	156	0.258	0.186	0.168440842278128	0.404258021467507
Cases	Younger	2	entorhinal	H2_gamma_dosage	0.406	127	-0.384	0.171	0.0272194869538724	0.187086684481257
All	Older	3	entorhinal	H2_gamma_dosage*footyrs	0.339	192	-0.043	0.031	0.171269078255936	0.548061050418995
All	Younger	3	entorhinal	H2_gamma_dosage*footyrs	0.379	200	-0.036	0.034	0.285235483117678	0.657707102231928
Cases	Older	3	entorhinal	H2_gamma_dosage*footyrs	0.379	156	-0.028	0.036	0.451102446286234	0.676653669429351
Cases	Younger	3	entorhinal	H2_gamma_dosage*footyrs	0.406	127	-0.005	0.04	0.900833197615431	0.939999858381319
All	NA	4	entorhinal	H2_gamma_dosage*stratum	0.333	537	0.28	0.175	0.110689659542062	0.198123353745299
