Subjects	Age	Model	Phenotype	Predictor	Freq	N	Effect	SE	P.value	FDR
Cases	Younger	2	CA4	H2_alpha_dosage	0.286	127	-0.704	0.246	0.00512637560864726	0.175044980257411
All	Older	3	CA4	H2_alpha_dosage*footyrs	0.24	192	-0.097	0.041	0.019249593330414	0.184796095971974
All	Younger	3	CA4	H2_alpha_dosage*footyrs	0.276	200	0.021	0.047	0.656438791360802	0.768417437742728
Cases	Older	3	CA4	H2_alpha_dosage*footyrs	0.262	156	-0.065	0.048	0.17695193290917	0.447036462086324
Cases	Younger	3	CA4	H2_alpha_dosage*footyrs	0.286	127	0.057	0.054	0.295030439185215	0.53938315739586
All	NA	4	CA4	H2_alpha_dosage*stratum	0.24	537	0.442	0.237	0.0628854037616335	0.221570943768236
Cases	NA	4	CA4	H2_alpha_dosage*stratum	0.244	372	0.406	0.278	0.144854624465239	0.267423922089672
All	Older	1	entorhinal	H2_alpha_dosage	0.241	226	0.129	0.206	0.530240400690942	0.694192842110204
All	Younger	1	entorhinal	H2_alpha_dosage	0.285	232	-0.243	0.178	0.173562735616064	0.420000258842686
Cases	Older	1	entorhinal	H2_alpha_dosage	0.264	173	0.295	0.249	0.237147315219316	0.455322845221087
Cases	Younger	1	entorhinal	H2_alpha_dosage	0.281	140	-0.274	0.224	0.222286950859957	0.444573901719914
All	Older	2	entorhinal	H2_alpha_dosage	0.24	192	0.206	0.235	0.380554704881279	0.664645051092941
All	Younger	2	entorhinal	H2_alpha_dosage	0.276	200	-0.303	0.203	0.13714033036765	0.43884905717648
Cases	Older	2	entorhinal	H2_alpha_dosage	0.262	156	0.284	0.267	0.289580232724298	0.579160465448596
Cases	Younger	2	entorhinal	H2_alpha_dosage	0.286	127	-0.432	0.241	0.0751965122872371	0.348926337392823
All	Older	3	entorhinal	H2_alpha_dosage*footyrs	0.24	192	-0.072	0.045	0.107324918680266	0.396276622819444
All	Younger	3	entorhinal	H2_alpha_dosage*footyrs	0.276	200	-0.02	0.046	0.662698036075163	0.768417437742728
Cases	Older	3	entorhinal	H2_alpha_dosage*footyrs	0.262	156	-0.064	0.053	0.233247141161704	0.514069147979972
Cases	Younger	3	entorhinal	H2_alpha_dosage*footyrs	0.286	127	0.019	0.053	0.716685700486286	0.781838945985039
All	NA	4	entorhinal	H2_alpha_dosage*stratum	0.24	537	0.356	0.243	0.14468573974211	0.267423922089672
Cases	NA	4	entorhinal	H2_alpha_dosage*stratum	0.244	372	0.377	0.295	0.202343620442966	0.323749792708746
All	Older	1	inforbfront	H2_alpha_dosage	0.241	226	0.322	0.196	0.100872199210043	0.403488796840172
All	Younger	1	inforbfront	H2_alpha_dosage	0.285	232	-0.17	0.172	0.323256249797183	0.596780768856338
Cases	Older	1	inforbfront	H2_alpha_dosage	0.264	173	0.408	0.23	0.0788615878423846	0.379333171501394
Cases	Younger	1	inforbfront	H2_alpha_dosage	0.281	140	-0.048	0.204	0.812342354599958	0.88619165956359
All	Older	2	inforbfront	H2_alpha_dosage	0.24	192	0.387	0.22	0.0796506087468538	0.348926337392823
All	Younger	2	inforbfront	H2_alpha_dosage	0.276	200	-0.057	0.19	0.763235282982615	0.893740965861475
Cases	Older	2	inforbfront	H2_alpha_dosage	0.262	156	0.373	0.246	0.131017610876061	0.43884905717648
Cases	Younger	2	inforbfront	H2_alpha_dosage	0.286	127	0.018	0.216	0.933547682555357	0.988994695232681
All	Older	3	inforbfront	H2_alpha_dosage*footyrs	0.24	192	-0.11	0.041	0.00856806925813736	0.137089108130198
All	Younger	3	inforbfront	H2_alpha_dosage*footyrs	0.276	200	-0.04	0.038	0.286092900347623	0.53938315739586
Cases	Older	3	inforbfront	H2_alpha_dosage*footyrs	0.262	156	-0.105	0.049	0.032809029104595	0.258264404800349
Cases	Younger	3	inforbfront	H2_alpha_dosage*footyrs	0.286	127	-0.022	0.044	0.618229250774123	0.768417437742728
All	NA	4	inforbfront	H2_alpha_dosage*stratum	0.24	537	0.397	0.233	0.0887942380007942	0.221570943768236
