Subjects	Age	Model	Phenotype	Predictor	Freq	N	Effect	SE	P.value	FDR
Cases	Younger	2	CA4	H1_beta_dosage	1.091	127	0.572	0.226	0.0128205125355279	0.123076920341068
All	Older	3	CA4	H1_beta_dosage*footyrs	1.138	192	0.039	0.029	0.184626110702265	0.443102665685436
All	Younger	3	CA4	H1_beta_dosage*footyrs	1.14	200	0.075	0.046	0.103208698737212	0.346280316747304
Cases	Older	3	CA4	H1_beta_dosage*footyrs	1.11	156	0.022	0.036	0.543868959973395	0.815803439960093
Cases	Younger	3	CA4	H1_beta_dosage*footyrs	1.091	127	0.029	0.057	0.608428534465034	0.831418564633004
All	NA	4	CA4	H1_beta_dosage*stratum	1.127	537	-0.229	0.191	0.23127249780305	0.559514047097046
Cases	NA	4	CA4	H1_beta_dosage*stratum	1.098	372	-0.393	0.244	0.107818308468747	0.369662771892847
All	Older	1	entorhinal	H1_beta_dosage	1.147	226	-0.168	0.16	0.295571846091822	0.525461059718795
All	Younger	1	entorhinal	H1_beta_dosage	1.135	232	0.029	0.147	0.846434228921883	0.870024666387019
Cases	Older	1	entorhinal	H1_beta_dosage	1.114	173	-0.318	0.201	0.11518355402567	0.361851682664766
Cases	Younger	1	entorhinal	H1_beta_dosage	1.108	140	0.237	0.199	0.235753494219338	0.435237220097239
All	Older	2	entorhinal	H1_beta_dosage	1.138	192	-0.264	0.189	0.165081725265444	0.330163450530888
All	Younger	2	entorhinal	H1_beta_dosage	1.14	200	0.049	0.17	0.77336118103419	0.858612713728911
Cases	Older	2	entorhinal	H1_beta_dosage	1.11	156	-0.381	0.22	0.0857274074036369	0.234536463241947
Cases	Younger	2	entorhinal	H1_beta_dosage	1.091	127	0.414	0.219	0.0614290613687087	0.226814995822924
All	Older	3	entorhinal	H1_beta_dosage*footyrs	1.138	192	0.007	0.033	0.832731427938137	0.908434285023422
All	Younger	3	entorhinal	H1_beta_dosage*footyrs	1.14	200	0.096	0.041	0.0211129079421346	0.213398903131674
Cases	Older	3	entorhinal	H1_beta_dosage*footyrs	1.11	156	0.011	0.04	0.77416145937602	0.906335367074365
Cases	Younger	3	entorhinal	H1_beta_dosage*footyrs	1.091	127	0.067	0.058	0.251136007921438	0.524109929575175
All	NA	4	entorhinal	H1_beta_dosage*stratum	1.127	537	-0.038	0.198	0.846792031664978	0.846792031664978
Cases	NA	4	entorhinal	H1_beta_dosage*stratum	1.098	372	-0.301	0.254	0.237108613984096	0.559514047097046
All	Older	1	inforbfront	H1_beta_dosage	1.147	226	-0.277	0.152	0.0707277774394812	0.282911109757925
All	Younger	1	inforbfront	H1_beta_dosage	1.135	232	-0.09	0.146	0.541035546979894	0.701883952838781
Cases	Older	1	inforbfront	H1_beta_dosage	1.114	173	-0.337	0.182	0.0658760923465149	0.282911109757925
Cases	Younger	1	inforbfront	H1_beta_dosage	1.108	140	-0.07	0.188	0.709881735796953	0.817663968118637
All	Older	2	inforbfront	H1_beta_dosage	1.138	192	-0.393	0.176	0.0271297373518293	0.178673060360511
All	Younger	2	inforbfront	H1_beta_dosage	1.14	200	-0.194	0.167	0.246706397386649	0.422925252662827
Cases	Older	2	inforbfront	H1_beta_dosage	1.11	156	-0.34	0.201	0.0928373500332706	0.234536463241947
Cases	Younger	2	inforbfront	H1_beta_dosage	1.091	127	-0.087	0.206	0.671889848917193	0.857994578979107
All	Older	3	inforbfront	H1_beta_dosage*footyrs	1.138	192	0.048	0.029	0.097154166112337	0.346280316747304
All	Younger	3	inforbfront	H1_beta_dosage*footyrs	1.14	200	0.06	0.038	0.11522652961392	0.346280316747304
Cases	Older	3	inforbfront	H1_beta_dosage*footyrs	1.11	156	0.057	0.034	0.0990081953088309	0.346280316747304
Cases	Younger	3	inforbfront	H1_beta_dosage*footyrs	1.091	127	0.038	0.051	0.458609447659025	0.75907770647011
All	NA	4	inforbfront	H1_beta_dosage*stratum	1.127	537	-0.093	0.193	0.629510000646015	0.719440000738303
Cases	NA	4	inforbfront	H1_beta_dosage*stratum	1.098	372	-0.162	0.245	0.509414590273616	0.712391504401217
All	Older	1	infpar	H1_beta_dosage	1.147	226	-0.177	0.148	0.234530762513215	0.435237220097239
All	Younger	1	infpar	H1_beta_dosage	1.135	232	-0.065	0.146	0.656194841676905	0.788272288647325
Cases	Older	1	infpar	H1_beta_dosage	1.114	173	-0.24	0.176	0.175307461675017	0.408434425002976
Cases	Younger	1	infpar	H1_beta_dosage	1.108	140	-0.04	0.19	0.834646163032634	0.870024666387019
All	Older	2	infpar	H1_beta_dosage	1.138	192	-0.212	0.171	0.218823916929808	0.420141920505231
All	Younger	2	infpar	H1_beta_dosage	1.14	200	-0.118	0.163	0.471284485216499	0.706926727824749
Cases	Older	2	infpar	H1_beta_dosage	1.11	156	-0.315	0.197	0.112831961275938	0.251653094009184
Cases	Younger	2	infpar	H1_beta_dosage	1.091	127	0.074	0.203	0.716571162129075	0.858612713728911
All	Older	3	infpar	H1_beta_dosage*footyrs	1.138	192	0.055	0.03	0.0699847748867575	0.30538810859676
All	Younger	3	infpar	H1_beta_dosage*footyrs	1.14	200	0.069	0.036	0.0574774849452837	0.275891927737362
Cases	Older	3	infpar	H1_beta_dosage*footyrs	1.11	156	0.09	0.038	0.0181976135462281	0.213398903131674
Cases	Younger	3	infpar	H1_beta_dosage*footyrs	1.091	127	0.049	0.046	0.290628982732668	0.581257965465336
All	NA	4	infpar	H1_beta_dosage*stratum	1.127	537	-0.044	0.193	0.819511368030261	0.846792031664978
Cases	NA	4	infpar	H1_beta_dosage*stratum	1.098	372	-0.127	0.243	0.601374546255216	0.719440000738303
All	Older	1	loccoer	H1_beta_dosage	1.147	226	0.074	0.163	0.650089261155584	0.788272288647325
All	Younger	1	loccoer	H1_beta_dosage	1.135	232	0.11	0.147	0.455969723815558	0.701883952838781
Cases	Older	1	loccoer	H1_beta_dosage	1.114	173	-0.003	0.201	0.986708549887682	0.986708549887682
Cases	Younger	1	loccoer	H1_beta_dosage	1.108	140	0.292	0.212	0.170825576565321	0.408434425002976
All	Older	2	loccoer	H1_beta_dosage	1.138	192	-0.112	0.187	0.548940916935768	0.753164088003156
All	Younger	2	loccoer	H1_beta_dosage	1.14	200	0.053	0.163	0.746496374745024	0.858612713728911
Cases	Older	2	loccoer	H1_beta_dosage	1.11	156	-0.146	0.227	0.522792099807982	0.753164088003156
Cases	Younger	2	loccoer	H1_beta_dosage	1.091	127	0.381	0.231	0.103518691741074	0.248444860178578
All	Older	3	loccoer	H1_beta_dosage*footyrs	1.138	192	0.017	0.032	0.596735330413845	0.831418564633004
All	Younger	3	loccoer	H1_beta_dosage*footyrs	1.14	200	0.013	0.037	0.724691918741467	0.906335367074365
Cases	Older	3	loccoer	H1_beta_dosage*footyrs	1.11	156	0.019	0.038	0.623563923474753	0.831418564633004
Cases	Younger	3	loccoer	H1_beta_dosage*footyrs	1.091	127	-0.02	0.059	0.739562485377204	0.906335367074365
All	NA	4	loccoer	H1_beta_dosage*stratum	1.127	537	-0.062	0.205	0.76470049026037	0.834218716647676
Cases	NA	4	loccoer	H1_beta_dosage*stratum	1.098	372	-0.346	0.273	0.206681616187417	0.559514047097046
All	Older	1	midfront	H1_beta_dosage	1.147	226	-0.292	0.153	0.0569445493070844	0.273333836674005
All	Younger	1	midfront	H1_beta_dosage	1.135	232	-0.098	0.142	0.49061308075533	0.701883952838781
Cases	Older	1	midfront	H1_beta_dosage	1.114	173	-0.462	0.188	0.015086879567396	0.245599898979421
Cases	Younger	1	midfront	H1_beta_dosage	1.108	140	0.129	0.191	0.502709189965495	0.701883952838781
All	Older	2	midfront	H1_beta_dosage	1.138	192	-0.4	0.183	0.0301945074558465	0.178673060360511
All	Younger	2	midfront	H1_beta_dosage	1.14	200	-0.189	0.159	0.236239618603848	0.422925252662827
Cases	Older	2	midfront	H1_beta_dosage	1.11	156	-0.549	0.214	0.0115177805330871	0.123076920341068
Cases	Younger	2	midfront	H1_beta_dosage	1.091	127	0.123	0.205	0.549182147502301	0.753164088003156
All	Older	3	midfront	H1_beta_dosage*footyrs	1.138	192	0.014	0.03	0.65079280580242	0.844271748068004
All	Younger	3	midfront	H1_beta_dosage*footyrs	1.14	200	0.053	0.037	0.149885162683038	0.380533967896497
Cases	Older	3	midfront	H1_beta_dosage*footyrs	1.11	156	0.037	0.037	0.316009666046025	0.583402460392662
Cases	Younger	3	midfront	H1_beta_dosage*footyrs	1.091	127	-0.016	0.053	0.765072214708562	0.906335367074365
All	NA	4	midfront	H1_beta_dosage*stratum	1.127	537	-0.148	0.195	0.44740353624556	0.67110530436834
Cases	NA	4	midfront	H1_beta_dosage*stratum	1.098	372	-0.419	0.247	0.091061732578499	0.367689137116336
All	Older	1	suptemp	H1_beta_dosage	1.147	226	-0.226	0.154	0.145204821677639	0.408434425002976
All	Younger	1	suptemp	H1_beta_dosage	1.135	232	0.035	0.147	0.810848630434073	0.870024666387019
Cases	Older	1	suptemp	H1_beta_dosage	1.114	173	-0.411	0.186	0.0288564935242495	0.273333836674005
Cases	Younger	1	suptemp	H1_beta_dosage	1.108	140	0.284	0.199	0.155040141008244	0.408434425002976
All	Older	2	suptemp	H1_beta_dosage	1.138	192	-0.301	0.177	0.0909606696812988	0.234536463241947
All	Younger	2	suptemp	H1_beta_dosage	1.14	200	-0.051	0.167	0.759971358019081	0.858612713728911
Cases	Older	2	suptemp	H1_beta_dosage	1.11	156	-0.355	0.2	0.0787607317338206	0.234536463241947
Cases	Younger	2	suptemp	H1_beta_dosage	1.091	127	0.24	0.217	0.270594612230148	0.432951379568237
All	Older	3	suptemp	H1_beta_dosage*footyrs	1.138	192	0.068	0.03	0.0275256703341926	0.213398903131674
All	Younger	3	suptemp	H1_beta_dosage*footyrs	1.14	200	0.056	0.036	0.12264094551467	0.346280316747304
Cases	Older	3	suptemp	H1_beta_dosage*footyrs	1.11	156	0.106	0.039	0.00701765414340194	0.213398903131674
Cases	Younger	3	suptemp	H1_beta_dosage*footyrs	1.091	127	0.06	0.05	0.227510444035703	0.520023872081607
All	NA	4	suptemp	H1_beta_dosage*stratum	1.127	537	-0.122	0.195	0.534293628300913	0.712391504401217
Cases	NA	4	suptemp	H1_beta_dosage*stratum	1.098	372	-0.467	0.251	0.0638351677979658	0.367689137116336
All	Older	1	CTEstage	H1_beta_dosage	1.147	226	-0.422	0.15	0.00552291131717242	0.245599898979421
All	Younger	1	CTEstage	H1_beta_dosage	1.135	231	0.031	0.14	0.82361377823603	0.870024666387019
Cases	Older	1	CTEstage	H1_beta_dosage	1.114	173	-0.365	0.184	0.0490440682371904	0.273333836674005
Cases	Younger	1	CTEstage	H1_beta_dosage	1.109	139	0.303	0.194	0.120617227554922	0.361851682664766
All	Older	2	CTEstage	H1_beta_dosage	1.138	192	-0.537	0.181	0.00342796328466743	0.123076920341068
All	Younger	2	CTEstage	H1_beta_dosage	1.14	200	-0.043	0.16	0.787061654251502	0.858612713728911
Cases	Older	2	CTEstage	H1_beta_dosage	1.11	156	-0.394	0.208	0.0609284003808703	0.226814995822924
Cases	Younger	2	CTEstage	H1_beta_dosage	1.091	127	0.333	0.211	0.117726309604586	0.251653094009184
All	Older	3	CTEstage	H1_beta_dosage*footyrs	1.138	192	0.07	0.037	0.0571012504304282	0.275891927737362
All	Younger	3	CTEstage	H1_beta_dosage*footyrs	1.14	200	0.032	0.037	0.386874547212737	0.663213509507549
Cases	Older	3	CTEstage	H1_beta_dosage*footyrs	1.11	156	0.041	0.041	0.315925455591498	0.583402460392662
Cases	Younger	3	CTEstage	H1_beta_dosage*footyrs	1.091	127	0.003	0.053	0.956694858594176	0.956694858594176
All	NA	4	CTEstage	H1_beta_dosage*stratum	1.127	536	-0.418	0.194	0.0313170270081997	0.337173255688839
Cases	NA	4	CTEstage	H1_beta_dosage*stratum	1.098	371	-0.502	0.246	0.0421466569611049	0.337173255688839
All	Older	1	subnigra	H1_beta_dosage	1.147	226	-0.196	0.149	0.189037172313483	0.408434425002976
All	Younger	1	subnigra	H1_beta_dosage	1.135	232	0.143	0.152	0.348720877454474	0.577193176476371
Cases	Older	1	subnigra	H1_beta_dosage	1.114	173	-0.112	0.179	0.532499917144293	0.701883952838781
Cases	Younger	1	subnigra	H1_beta_dosage	1.108	140	0.337	0.197	0.0899579903177798	0.308427395375245
All	Older	2	subnigra	H1_beta_dosage	1.138	192	-0.267	0.171	0.120583774212734	0.251653094009184
All	Younger	2	subnigra	H1_beta_dosage	1.14	200	0.014	0.169	0.933091403410317	0.944719861012598
Cases	Older	2	subnigra	H1_beta_dosage	1.11	156	-0.076	0.197	0.70147275170047	0.858612713728911
Cases	Younger	2	subnigra	H1_beta_dosage	1.091	127	0.374	0.214	0.0843210284849123	0.234536463241947
All	Older	3	subnigra	H1_beta_dosage*footyrs	1.138	192	0.077	0.03	0.0110364636112323	0.213398903131674
All	Younger	3	subnigra	H1_beta_dosage*footyrs	1.14	200	0.089	0.04	0.0293913381945972	0.213398903131674
Cases	Older	3	subnigra	H1_beta_dosage*footyrs	1.11	156	0.069	0.035	0.0525637001379446	0.275891927737362
Cases	Younger	3	subnigra	H1_beta_dosage*footyrs	1.091	127	0.075	0.052	0.15062802895903	0.380533967896497
All	NA	4	subnigra	H1_beta_dosage*stratum	1.127	537	-0.199	0.193	0.302523469903093	0.565689644392918
Cases	NA	4	subnigra	H1_beta_dosage*stratum	1.098	372	-0.236	0.242	0.329985625895869	0.565689644392918
