Subjects	Model	Phenotype	Predictor	Freq	N	Effect	SE	P.value	FDR	Perm_P
All	1	entorhinal	H1B2G1	0.283	447	-0.15	0.149	0.313825201525565	0.812253462772051	0.94
All	1	inforbfront	H1B2G1	0.283	447	-0.33	0.144	0.0218646217609373	0.160340559580207	0.149
All	1	infpar	H1B2G1	0.283	447	-0.246	0.144	0.0897401294434141	0.358960517773656	0.451
All	1	loccoer	H1B2G1	0.283	447	0.067	0.151	0.654752070718209	0.992193141836097	1
All	1	midfront	H1B2G1	0.283	447	-0.265	0.141	0.0606908639714931	0.281094527867968	0.336
All	1	suptemp	H1B2G1	0.283	447	-0.385	0.145	0.00826822415176887	0.0909504656694576	0.063
All	1	CTEstage	H1B2G1	0.284	446	-0.285	0.141	0.0440893597918266	0.176357439167306	0.255
All	1	subnigra	H1B2G1	0.283	447	-0.186	0.144	0.197749259855369	0.580693404394438	0.781
All	1	CTE	H1B3G1	0.006	447	-0.61	1.062	0.566245983098854	0.770086423153835	0.997
All	1	DementiaHx	H1B3G1	0.006	430	-1.533	1.072	0.153383094979719	0.368119427951326	0.639
All	1	amygdala	H1B3G1	0.006	447	-1.157	0.805	0.151572950886316	0.494015543629474	0.633
All	1	CA1	H1B3G1	0.006	447	-1.173	0.84	0.163117789066891	0.512655908495943	0.669
All	1	CA2	H1B3G1	0.006	447	-0.497	0.828	0.548341597637963	0.927962703695014	0.997
All	1	CA4	H1B3G1	0.006	447	-1.504	0.988	0.128682210114428	0.471834770419569	0.559
All	1	entorhinal	H1B3G1	0.006	447	-0.922	0.802	0.251287231467609	0.713331495779019	0.862
All	1	inforbfront	H1B3G1	0.006	447	-1.863	0.918	0.0429877108274264	0.220753533859396	0.181
All	1	infpar	H1B3G1	0.006	447	-1.387	0.939	0.140567885767528	0.494015543629474	0.596
All	1	loccoer	H1B3G1	0.006	447	-2.202	0.949	0.0207931819497635	0.160340559580207	0.063
All	1	midfront	H1B3G1	0.006	447	-2.274	0.903	0.0121937426967524	0.119227706368246	0.029
All	1	suptemp	H1B3G1	0.006	447	0.159	0.831	0.848059778769669	0.992193141836097	1
All	1	CTEstage	H1B3G1	0.006	446	-0.03	0.856	0.971837514541953	0.985033879849898	1
All	1	subnigra	H1B3G1	0.006	447	-0.79	0.852	0.354414849283266	0.812782485459509	0.953
All	1	CTE	H2A1G2	0.131	447	0.523	0.254	0.0397377829254966	0.176357439167306	0.267
All	1	DementiaHx	H2A1G2	0.129	430	-0.247	0.273	0.366529313462752	0.628335965936146	0.975
All	1	amygdala	H2A1G2	0.131	447	-0.403	0.191	0.0357320020751164	0.217394851447367	0.249
All	1	CA1	H2A1G2	0.131	447	-0.308	0.195	0.115808268596142	0.443092505933065	0.57
All	1	CA2	H2A1G2	0.131	447	-0.387	0.193	0.0451541319257855	0.220753533859396	0.292
All	1	CA4	H2A1G2	0.131	447	-0.562	0.194	0.00397252320168162	0.0742491618654899	0.037
All	1	entorhinal	H2A1G2	0.131	447	-0.2	0.197	0.310192223418559	0.812253462772051	0.938
All	1	inforbfront	H2A1G2	0.131	447	-0.012	0.187	0.948481791505644	0.992193141836097	1
All	1	infpar	H2A1G2	0.131	447	-0.013	0.19	0.944462177994102	0.992193141836097	1
All	1	loccoer	H2A1G2	0.131	447	-0.342	0.192	0.0759832928115394	0.320242294753782	0.429
All	1	midfront	H2A1G2	0.131	447	0.059	0.188	0.755007582062403	0.992193141836097	1
All	1	suptemp	H2A1G2	0.131	447	-0.053	0.194	0.785917141987119	0.992193141836097	1
All	1	CTEstage	H2A1G2	0.131	446	0.294	0.183	0.108693019811642	0.289848052831045	0.552
All	1	subnigra	H2A1G2	0.131	447	-0.395	0.189	0.0370559405876194	0.217394851447367	0.255
All	1	CTE	H2A2G2	0.04	447	-0.277	0.39	0.478162213616492	0.765059541786387	0.993
All	1	DementiaHx	H2A2G2	0.042	430	-0.266	0.434	0.540053754012815	0.770086423153835	0.999
All	1	amygdala	H2A2G2	0.04	447	0.176	0.331	0.595087225377334	0.969771774688989	1
All	1	CA1	H2A2G2	0.04	447	0.128	0.317	0.687028087411072	0.992193141836097	1
All	1	CA2	H2A2G2	0.04	447	-0.27	0.329	0.413694402420707	0.866788271738624	0.983
All	1	CA4	H2A2G2	0.04	447	-0.185	0.324	0.568618519011916	0.944121314585823	0.999
All	1	entorhinal	H2A2G2	0.04	447	-0.113	0.335	0.735473997385562	0.992193141836097	1
All	1	inforbfront	H2A2G2	0.04	447	0.015	0.314	0.962495537589552	0.992193141836097	1
All	1	infpar	H2A2G2	0.04	447	-0.329	0.314	0.296018577400218	0.812253462772051	0.926
All	1	loccoer	H2A2G2	0.04	447	0.122	0.338	0.717800293036436	0.992193141836097	1
All	1	midfront	H2A2G2	0.04	447	-0.122	0.31	0.693591301995002	0.992193141836097	1
All	1	suptemp	H2A2G2	0.04	447	-0.283	0.315	0.369446584299777	0.812782485459509	0.973
All	1	CTEstage	H2A2G2	0.04	446	-0.183	0.328	0.577564817365376	0.770086423153835	1
All	1	subnigra	H2A2G2	0.04	447	0.232	0.332	0.484398495893947	0.927962703695014	0.993
All	1	CTE	H1_dosage	0.816	458	-0.332	0.235	0.157524733260751	0.406277182628235	0.717
All	1	DementiaHx	H1_dosage	0.816	440	0.259	0.256	0.312524829597247	0.406277182628235	0.925
All	1	amygdala	H1_dosage	0.816	458	0.286	0.182	0.11678553949443	0.577209870636833	0.583
All	1	CA1	H1_dosage	0.816	458	0.268	0.184	0.14539255263773	0.577209870636833	0.673
All	1	CA2	H1_dosage	0.816	458	0.393	0.183	0.0320783931001882	0.376232866440222	0.207
All	1	CA4	H1_dosage	0.816	458	0.471	0.183	0.0105174038188833	0.323351723873621	0.079
All	1	entorhinal	H1_dosage	0.816	458	0.187	0.186	0.315947367551609	0.727587487594289	0.927
All	1	inforbfront	H1_dosage	0.816	458	0.011	0.176	0.948216005976874	0.992289811165684	1
All	1	infpar	H1_dosage	0.816	458	0.108	0.178	0.542232406311117	0.78481006176609	1
All	1	loccoer	H1_dosage	0.816	458	0.217	0.189	0.252658395158408	0.68117777476228	0.875
All	1	midfront	H1_dosage	0.816	458	-0.025	0.177	0.888678609752445	0.992289811165684	1
All	1	suptemp	H1_dosage	0.816	458	0.097	0.181	0.593498298016023	0.821600056630132	1
All	1	CTEstage	H1_dosage	0.815	457	-0.209	0.173	0.228370003356505	0.406277182628235	0.852
All	1	subnigra	H1_dosage	0.816	458	0.25	0.18	0.165703571646616	0.577209870636833	0.739
All	1	CTE	H1_beta_dosage	1.141	458	-0.256	0.129	0.0468649278355122	0.406277182628235	0.284
All	1	DementiaHx	H1_beta_dosage	1.14	440	0.001	0.147	0.993460458559539	0.993460458559539	1
All	1	amygdala	H1_beta_dosage	1.141	458	-0.015	0.103	0.887998083803123	0.992289811165684	1
All	1	CA1	H1_beta_dosage	1.141	458	0.063	0.102	0.533492844843755	0.78481006176609	0.999
All	1	CA2	H1_beta_dosage	1.141	458	0.084	0.105	0.423323629145768	0.727587487594289	0.991
All	1	CA4	H1_beta_dosage	1.141	458	0.124	0.103	0.227310579801015	0.68117777476228	0.853
All	1	entorhinal	H1_beta_dosage	1.141	458	-0.069	0.107	0.516534573537454	0.78481006176609	0.999
All	1	inforbfront	H1_beta_dosage	1.141	458	-0.171	0.102	0.0938334623231389	0.577209870636833	0.504
All	1	infpar	H1_beta_dosage	1.141	458	-0.092	0.101	0.363283046000829	0.727587487594289	0.973
All	1	loccoer	H1_beta_dosage	1.141	458	0.056	0.108	0.599709785767958	0.821600056630132	1
All	1	midfront	H1_beta_dosage	1.141	458	-0.167	0.101	0.100711589535488	0.577209870636833	0.526
All	1	suptemp	H1_beta_dosage	1.141	458	-0.087	0.104	0.405798754910202	0.727587487594289	0.985
All	1	CTEstage	H1_beta_dosage	1.141	457	-0.157	0.1	0.117307343039507	0.406277182628235	0.578
All	1	subnigra	H1_beta_dosage	1.141	458	-0.023	0.102	0.819634340463125	0.992289811165684	1
All	1	CTE	H2_alpha_dosage	0.263	458	0.153	0.161	0.341393269013814	0.406277182628235	0.953
All	1	DementiaHx	H2_alpha_dosage	0.264	440	-0.167	0.176	0.341883612396097	0.406277182628235	0.954
All	1	amygdala	H2_alpha_dosage	0.263	458	-0.15	0.128	0.240693525271473	0.68117777476228	0.838
All	1	CA1	H2_alpha_dosage	0.263	458	-0.142	0.127	0.26271641861938	0.68117777476228	0.863
All	1	CA2	H2_alpha_dosage	0.263	458	-0.244	0.128	0.0567393455535345	0.520110667574066	0.346
All	1	CA4	H2_alpha_dosage	0.263	458	-0.278	0.128	0.0299824759109202	0.376232866440222	0.209
All	1	entorhinal	H2_alpha_dosage	0.263	458	-0.11	0.13	0.399547509923518	0.727587487594289	0.986
All	1	inforbfront	H2_alpha_dosage	0.263	458	-0.007	0.124	0.956206545305114	0.992289811165684	1
All	1	infpar	H2_alpha_dosage	0.263	458	-0.107	0.124	0.390198045049568	0.727587487594289	0.983
All	1	loccoer	H2_alpha_dosage	0.263	458	-0.084	0.134	0.531261716483986	0.78481006176609	0.999
All	1	midfront	H2_alpha_dosage	0.263	458	0.012	0.123	0.923761962605259	0.992289811165684	1
All	1	suptemp	H2_alpha_dosage	0.263	458	-0.058	0.125	0.64480086583802	0.844382086216455	1
All	1	CTEstage	H2_alpha_dosage	0.264	457	0.123	0.123	0.315751665109738	0.406277182628235	0.932
All	1	subnigra	H2_alpha_dosage	0.263	458	-0.123	0.127	0.334024062294684	0.727587487594289	0.949
All	1	CTE	H1_gamma_dosage	1.053	458	-0.112	0.12	0.352106891611137	0.406277182628235	0.961
All	1	DementiaHx	H1_gamma_dosage	1.053	440	-0.103	0.137	0.453726248733567	0.48613526650025	0.99
All	1	amygdala	H1_gamma_dosage	1.053	458	0.075	0.099	0.450656490504629	0.751094150841048	0.99
All	1	CA1	H1_gamma_dosage	1.053	458	-0.024	0.098	0.806774729808933	0.992289811165684	1
All	1	CA2	H1_gamma_dosage	1.053	458	0.166	0.097	0.0884463725333393	0.577209870636833	0.491
All	1	CA4	H1_gamma_dosage	1.053	458	0.146	0.099	0.14267798372401	0.577209870636833	0.675
All	1	entorhinal	H1_gamma_dosage	1.053	458	-0.008	0.102	0.938755112368767	0.992289811165684	1
All	1	inforbfront	H1_gamma_dosage	1.053	458	0.001	0.097	0.992769151314671	0.992769151314671	1
All	1	infpar	H1_gamma_dosage	1.053	458	-0.023	0.097	0.808504280032788	0.992289811165684	1
All	1	loccoer	H1_gamma_dosage	1.053	458	0.083	0.102	0.420245644833027	0.727587487594289	0.984
All	1	midfront	H1_gamma_dosage	1.053	458	-0.078	0.096	0.417838672972098	0.727587487594289	0.984
All	1	suptemp	H1_gamma_dosage	1.053	458	0.007	0.097	0.940482087430574	0.992289811165684	1
All	1	CTEstage	H1_gamma_dosage	1.052	457	-0.143	0.094	0.126017864029234	0.406277182628235	0.63
All	1	subnigra	H1_gamma_dosage	1.053	458	0.125	0.098	0.200326664485123	0.648115679216574	0.8
All	1	CTE	H2_gamma_dosage	0.366	458	0.169	0.118	0.153797805621941	0.406277182628235	0.695
All	1	DementiaHx	H2_gamma_dosage	0.365	440	-0.125	0.129	0.330958095232918	0.406277182628235	0.942
All	1	amygdala	H2_gamma_dosage	0.366	458	-0.142	0.091	0.121826772676859	0.577209870636833	0.604
All	1	CA1	H2_gamma_dosage	0.366	458	-0.131	0.092	0.156113335336692	0.577209870636833	0.7
All	1	CA2	H2_gamma_dosage	0.366	458	-0.195	0.092	0.034202987858202	0.376232866440222	0.224
All	1	CA4	H2_gamma_dosage	0.366	458	-0.232	0.092	0.0117582445044953	0.323351723873621	0.09
All	1	entorhinal	H2_gamma_dosage	0.366	458	-0.092	0.094	0.324435331223155	0.727587487594289	0.936
All	1	inforbfront	H2_gamma_dosage	0.366	458	-0.001	0.089	0.991357491214863	0.992769151314671	1
All	1	infpar	H2_gamma_dosage	0.366	458	-0.056	0.089	0.530483756325685	0.78481006176609	0.999
All	1	loccoer	H2_gamma_dosage	0.366	458	-0.105	0.095	0.272471109904912	0.68117777476228	0.894
All	1	midfront	H2_gamma_dosage	0.366	458	0.013	0.089	0.886988469876377	0.992289811165684	1
All	1	suptemp	H2_gamma_dosage	0.366	458	-0.046	0.091	0.612465496760644	0.821600056630132	1
All	1	CTEstage	H2_gamma_dosage	0.367	457	0.106	0.087	0.224069435562117	0.406277182628235	0.848
All	1	subnigra	H2_gamma_dosage	0.366	458	-0.125	0.091	0.167915598730715	0.577209870636833	0.739
