Subjects	Age	Model	Phenotype	Predictor	Freq	N	Effect	SE	P.value	FDR
Cases	Younger	2	CA4	H2_alpha_dosage	0.231	163	-0.574	0.224	0.0113048807232556	0.271317137358134
All	Older	3	CA4	H2_alpha_dosage*footyrs	0.234	211	-0.084	0.039	0.0312782230322592	0.300270941109688
All	Younger	3	CA4	H2_alpha_dosage*footyrs	0.236	245	0.041	0.043	0.336432626171812	0.620292920033419
Cases	Older	3	CA4	H2_alpha_dosage*footyrs	0.258	172	-0.056	0.044	0.204655333027169	0.497355087926778
Cases	Younger	3	CA4	H2_alpha_dosage*footyrs	0.231	163	0.071	0.049	0.151164221248478	0.426816624701585
All	NA	4	CA4	H2_alpha_dosage*stratum	0.24	537	0.442	0.237	0.0628854037617241	0.221570943768286
Cases	NA	4	CA4	H2_alpha_dosage*stratum	0.244	372	0.406	0.278	0.14485462446514	0.267423922089489
All	Older	1	entorhinal	H2_alpha_dosage	0.235	253	0.179	0.192	0.352368246467551	0.476388740085232
All	Younger	1	entorhinal	H2_alpha_dosage	0.245	284	-0.294	0.166	0.0776755334707844	0.211764619115661
Cases	Older	1	entorhinal	H2_alpha_dosage	0.259	194	0.303	0.232	0.192963929126139	0.330795307073381
Cases	Younger	1	entorhinal	H2_alpha_dosage	0.229	178	-0.35	0.207	0.0924120541546496	0.220355689721496
All	Older	2	entorhinal	H2_alpha_dosage	0.234	211	0.265	0.218	0.225400549487412	0.472167680563304
All	Younger	2	entorhinal	H2_alpha_dosage	0.236	245	-0.25	0.19	0.188301420271302	0.449067556952137
Cases	Older	2	entorhinal	H2_alpha_dosage	0.258	172	0.319	0.246	0.19646705616656	0.449067556952137
Cases	Younger	2	entorhinal	H2_alpha_dosage	0.231	163	-0.424	0.222	0.0577909622965254	0.295102552180155
All	Older	3	entorhinal	H2_alpha_dosage*footyrs	0.234	211	-0.068	0.043	0.111508032979852	0.426816624701585
All	Younger	3	entorhinal	H2_alpha_dosage*footyrs	0.236	245	-0.029	0.04	0.462011698355398	0.653599715899417
Cases	Older	3	entorhinal	H2_alpha_dosage*footyrs	0.258	172	-0.063	0.05	0.212922777330146	0.497355087926778
Cases	Younger	3	entorhinal	H2_alpha_dosage*footyrs	0.231	163	-0.002	0.047	0.973391175422997	0.994101625963912
All	NA	4	entorhinal	H2_alpha_dosage*stratum	0.24	537	0.356	0.243	0.144685739742142	0.267423922089489
Cases	NA	4	entorhinal	H2_alpha_dosage*stratum	0.244	372	0.377	0.295	0.202343620442961	0.323749792708738
All	Older	1	inforbfront	H2_alpha_dosage	0.235	253	0.313	0.181	0.0855885842232182	0.216223791721814
All	Younger	1	inforbfront	H2_alpha_dosage	0.245	284	-0.193	0.161	0.231688942824315	0.383485146743694
Cases	Older	1	inforbfront	H2_alpha_dosage	0.259	194	0.397	0.211	0.0623008237040419	0.211764619115661
Cases	Younger	1	inforbfront	H2_alpha_dosage	0.229	178	-0.113	0.191	0.555484875285785	0.679178576000462
All	Older	2	inforbfront	H2_alpha_dosage	0.234	211	0.362	0.202	0.0747800090799067	0.326312766894138
All	Younger	2	inforbfront	H2_alpha_dosage	0.236	245	-0.041	0.175	0.816937716347734	0.876908937597434
Cases	Older	2	inforbfront	H2_alpha_dosage	0.258	172	0.353	0.223	0.116397247132981	0.372132437067897
Cases	Younger	2	inforbfront	H2_alpha_dosage	0.231	163	-0.032	0.201	0.874496122730279	0.912517693283769
All	Older	3	inforbfront	H2_alpha_dosage*footyrs	0.234	211	-0.09	0.039	0.0204611658231459	0.285193817589601
All	Younger	3	inforbfront	H2_alpha_dosage*footyrs	0.236	245	-0.03	0.034	0.371738239695532	0.637265553763769
Cases	Older	3	inforbfront	H2_alpha_dosage*footyrs	0.258	172	-0.066	0.044	0.138505309181597	0.426816624701585
Cases	Younger	3	inforbfront	H2_alpha_dosage*footyrs	0.231	163	-0.033	0.04	0.400266570018653	0.640426512029845
All	NA	4	inforbfront	H2_alpha_dosage*stratum	0.24	537	0.397	0.233	0.0887942380008278	0.221570943768286
Cases	NA	4	inforbfront	H2_alpha_dosage*stratum	0.244	372	0.327	0.278	0.240804023875901	0.335156073836927
All	Older	1	infpar	H2_alpha_dosage	0.235	253	0.163	0.176	0.357291555063924	0.476388740085232
All	Younger	1	infpar	H2_alpha_dosage	0.245	284	-0.31	0.166	0.0626040641062595	0.211764619115661
Cases	Older	1	infpar	H2_alpha_dosage	0.259	194	0.187	0.2	0.350865267164167	0.476388740085232
Cases	Younger	1	infpar	H2_alpha_dosage	0.229	178	-0.273	0.2	0.17509398525699	0.328625411194488
All	Older	2	infpar	H2_alpha_dosage	0.234	211	0.12	0.195	0.538258564026243	0.738183173521705
All	Younger	2	infpar	H2_alpha_dosage	0.236	245	-0.174	0.179	0.33028159503294	0.581397362231382
Cases	Older	2	infpar	H2_alpha_dosage	0.258	172	0.14	0.214	0.513035418721558	0.72428529701867
Cases	Younger	2	infpar	H2_alpha_dosage	0.231	163	-0.275	0.21	0.192212060215329	0.449067556952137
All	Older	3	infpar	H2_alpha_dosage*footyrs	0.234	211	-0.056	0.038	0.141320783594683	0.426816624701585
All	Younger	3	infpar	H2_alpha_dosage*footyrs	0.236	245	-0.022	0.034	0.531527046112967	0.673362886093394
Cases	Older	3	infpar	H2_alpha_dosage*footyrs	0.258	172	-0.049	0.043	0.2539052701575	0.507810540315
Cases	Younger	3	infpar	H2_alpha_dosage*footyrs	0.231	163	-0.025	0.04	0.543200839165481	0.673362886093394
All	NA	4	infpar	H2_alpha_dosage*stratum	0.24	537	0.404	0.235	0.0851886680340799	0.221570943768286
Cases	NA	4	infpar	H2_alpha_dosage*stratum	0.244	372	0.326	0.278	0.240922266893666	0.335156073836927
All	Older	1	loccoer	H2_alpha_dosage	0.235	253	-0.081	0.188	0.668812364159547	0.746581243712983
All	Younger	1	loccoer	H2_alpha_dosage	0.245	284	-0.186	0.171	0.278165726802433	0.430708222145703
Cases	Older	1	loccoer	H2_alpha_dosage	0.259	194	0.019	0.213	0.928341414762108	0.93924027840579
Cases	Younger	1	loccoer	H2_alpha_dosage	0.229	178	-0.211	0.221	0.341521425775045	0.476388740085232
All	Older	2	loccoer	H2_alpha_dosage	0.234	211	0.022	0.211	0.917551392728122	0.937073762786167
All	Younger	2	loccoer	H2_alpha_dosage	0.236	245	-0.054	0.185	0.77125398462743	0.876908937597434
Cases	Older	2	loccoer	H2_alpha_dosage	0.258	172	0.057	0.232	0.806021584108005	0.876908937597434
Cases	Younger	2	loccoer	H2_alpha_dosage	0.231	163	-0.212	0.232	0.363666013352486	0.581397362231382
All	Older	3	loccoer	H2_alpha_dosage*footyrs	0.234	211	-0.033	0.042	0.440732263005561	0.653599715899417
All	Younger	3	loccoer	H2_alpha_dosage*footyrs	0.236	245	-0.002	0.038	0.967062753130358	0.994101625963912
Cases	Older	3	loccoer	H2_alpha_dosage*footyrs	0.258	172	-0.035	0.048	0.462966465428754	0.653599715899417
Cases	Younger	3	loccoer	H2_alpha_dosage*footyrs	0.231	163	0.036	0.047	0.448754232242141	0.653599715899417
All	NA	4	loccoer	H2_alpha_dosage*stratum	0.24	537	0.112	0.248	0.652393817685496	0.652393817685496
Cases	NA	4	loccoer	H2_alpha_dosage*stratum	0.244	372	0.232	0.315	0.464029545327623	0.506214049448316
All	Older	1	midfront	H2_alpha_dosage	0.235	253	0.324	0.184	0.0794117321683727	0.211764619115661
All	Younger	1	midfront	H2_alpha_dosage	0.245	284	-0.155	0.158	0.329304726258602	0.476388740085232
Cases	Older	1	midfront	H2_alpha_dosage	0.259	194	0.45	0.219	0.0411368905742422	0.211764619115661
Cases	Younger	1	midfront	H2_alpha_dosage	0.229	178	-0.168	0.195	0.389291736889776	0.505027118127277
All	Older	2	midfront	H2_alpha_dosage	0.234	211	0.354	0.207	0.0888091471813559	0.327910697285006
All	Younger	2	midfront	H2_alpha_dosage	0.236	245	0.056	0.174	0.748072468272104	0.876908937597434
Cases	Older	2	midfront	H2_alpha_dosage	0.258	172	0.443	0.235	0.0614796983708656	0.295102552180155
Cases	Younger	2	midfront	H2_alpha_dosage	0.231	163	-0.071	0.205	0.72906659547223	0.876908937597434
All	Older	3	midfront	H2_alpha_dosage*footyrs	0.234	211	-0.053	0.039	0.179357589802123	0.478286906138995
All	Younger	3	midfront	H2_alpha_dosage*footyrs	0.236	245	-0.02	0.037	0.597472967883085	0.699480547765563
Cases	Older	3	midfront	H2_alpha_dosage*footyrs	0.258	172	-0.026	0.046	0.571945829707545	0.686334995649054
Cases	Younger	3	midfront	H2_alpha_dosage*footyrs	0.231	163	0	0.043	0.994621895322591	0.994621895322591
All	NA	4	midfront	H2_alpha_dosage*stratum	0.24	537	0.438	0.234	0.0622599135019	0.221570943768286
Cases	NA	4	midfront	H2_alpha_dosage*stratum	0.244	372	0.473	0.284	0.0962674283823459	0.221570943768286
All	Older	1	suptemp	H2_alpha_dosage	0.235	253	0.343	0.188	0.0689178461570812	0.211764619115661
All	Younger	1	suptemp	H2_alpha_dosage	0.245	284	-0.288	0.16	0.0735824883950951	0.211764619115661
Cases	Older	1	suptemp	H2_alpha_dosage	0.259	194	0.567	0.221	0.0109687335440818	0.131624802528982
Cases	Younger	1	suptemp	H2_alpha_dosage	0.229	178	-0.387	0.2	0.0548369759228879	0.211764619115661
All	Older	2	suptemp	H2_alpha_dosage	0.234	211	0.446	0.212	0.0366551739874659	0.293241391899727
All	Younger	2	suptemp	H2_alpha_dosage	0.236	245	-0.155	0.175	0.375485796441101	0.581397362231382
Cases	Older	2	suptemp	H2_alpha_dosage	0.258	172	0.532	0.238	0.0270043907354731	0.293241391899727
Cases	Younger	2	suptemp	H2_alpha_dosage	0.231	163	-0.323	0.208	0.122717358342569	0.372132437067897
All	Older	3	suptemp	H2_alpha_dosage*footyrs	0.234	211	-0.106	0.04	0.00839131163362428	0.201391479206983
All	Younger	3	suptemp	H2_alpha_dosage*footyrs	0.236	245	-0.007	0.034	0.838253650901752	0.93572500565777
Cases	Older	3	suptemp	H2_alpha_dosage*footyrs	0.258	172	-0.107	0.047	0.0237661514658001	0.285193817589601
Cases	Younger	3	suptemp	H2_alpha_dosage*footyrs	0.231	163	0.004	0.041	0.921681237310167	0.983126653130845
All	NA	4	suptemp	H2_alpha_dosage*stratum	0.24	537	0.529	0.238	0.0264751272538573	0.199256251012703
Cases	NA	4	suptemp	H2_alpha_dosage*stratum	0.244	372	0.704	0.288	0.0151955642799739	0.182346771359687
All	Older	1	CTEstage	H2_alpha_dosage	0.235	253	0.576	0.193	0.0031388678314439	0.102051827266802
All	Younger	1	CTEstage	H2_alpha_dosage	0.246	283	-0.264	0.158	0.0964056142531544	0.220355689721496
Cases	Older	1	CTEstage	H2_alpha_dosage	0.259	194	0.525	0.228	0.0226162254886022	0.180929803908818
Cases	Younger	1	CTEstage	H2_alpha_dosage	0.23	177	-0.37	0.203	0.0698282577263649	0.211764619115661
All	Older	2	CTEstage	H2_alpha_dosage	0.234	211	0.64	0.222	0.00430426854541643	0.206604890179989
All	Younger	2	CTEstage	H2_alpha_dosage	0.236	245	-0.172	0.174	0.324800650832631	0.581397362231382
Cases	Older	2	CTEstage	H2_alpha_dosage	0.258	172	0.479	0.243	0.0502517779633687	0.295102552180155
Cases	Younger	2	CTEstage	H2_alpha_dosage	0.231	163	-0.259	0.213	0.22624701360325	0.472167680563304
All	Older	3	CTEstage	H2_alpha_dosage*footyrs	0.234	211	-0.04	0.048	0.396006036776942	0.640426512029845
All	Younger	3	CTEstage	H2_alpha_dosage*footyrs	0.236	245	0.036	0.038	0.348914767518798	0.620292920033419
Cases	Older	3	CTEstage	H2_alpha_dosage*footyrs	0.258	172	-0.009	0.052	0.859251244730756	0.937364994251734
Cases	Younger	3	CTEstage	H2_alpha_dosage*footyrs	0.231	163	0.055	0.046	0.232616813423614	0.497355087926778
All	NA	4	CTEstage	H2_alpha_dosage*stratum	0.241	536	0.781	0.244	0.00143099521622236	0.0343438851893366
Cases	NA	4	CTEstage	H2_alpha_dosage*stratum	0.245	371	0.619	0.29	0.0332093751687839	0.199256251012703
All	Older	1	subnigra	H2_alpha_dosage	0.235	253	0.197	0.176	0.264116758205265	0.422586813128424
All	Younger	1	subnigra	H2_alpha_dosage	0.245	284	-0.267	0.172	0.120904285857052	0.252321987875587
Cases	Older	1	subnigra	H2_alpha_dosage	0.259	194	0.113	0.197	0.565982146667052	0.679178576000462
Cases	Younger	1	subnigra	H2_alpha_dosage	0.229	178	-0.286	0.211	0.178005431063681	0.328625411194488
All	Older	2	subnigra	H2_alpha_dosage	0.234	211	0.276	0.197	0.16290550468234	0.449067556952137
All	Younger	2	subnigra	H2_alpha_dosage	0.236	245	-0.048	0.184	0.796002587538355	0.876908937597434
Cases	Older	2	subnigra	H2_alpha_dosage	0.258	172	0.097	0.21	0.646486715961316	0.838685469355221
Cases	Younger	2	subnigra	H2_alpha_dosage	0.231	163	-0.196	0.219	0.373080353859913	0.581397362231382
All	Older	3	subnigra	H2_alpha_dosage*footyrs	0.234	211	-0.106	0.038	0.0062438446730646	0.201391479206983
All	Younger	3	subnigra	H2_alpha_dosage*footyrs	0.236	245	0.039	0.04	0.326514611439057	0.620292920033419
Cases	Older	3	subnigra	H2_alpha_dosage*footyrs	0.258	172	-0.088	0.043	0.0447893049841528	0.358314439873222
Cases	Younger	3	subnigra	H2_alpha_dosage*footyrs	0.231	163	0.07	0.048	0.145910650586326	0.426816624701585
All	NA	4	subnigra	H2_alpha_dosage*stratum	0.24	537	0.32	0.236	0.176324682073311	0.302270883554247
Cases	NA	4	subnigra	H2_alpha_dosage*stratum	0.244	372	0.194	0.28	0.488362738600546	0.509595901148396
