Subjects	Model	Phenotype	Predictor	Freq	N	Effect	SE	P.value	FDR
All	1	CA2	HLA_B.35.01	0.047	458	-0.017	0.315	0.956210969258761	0.998825943195549
All	1	CA2	HLA_B.35.02	0.005	458	0.824	1.031	0.425062502413021	0.998825943195549
All	1	CA2	HLA_B.35.03	0.006	458	0.838	0.952	0.379222583232567	0.998825943195549
All	1	CA2	HLA_B.35.08	0.004	458	0.7	1.065	0.511319200505545	0.998825943195549
All	1	CA2	HLA_B.37	0.018	458	0.15	0.48	0.754582950548529	0.998825943195549
All	1	CA2	HLA_B.37.01	0.018	458	0.15	0.48	0.754582950548529	0.998825943195549
All	1	CA2	HLA_B.38	0.02	458	-0.312	0.502	0.535035911970972	0.998825943195549
All	1	CA2	HLA_B.38.01	0.02	458	-0.306	0.505	0.545187700012406	0.998825943195549
All	1	CA2	HLA_B.39	0.02	458	0.102	0.508	0.840854557726739	0.998825943195549
All	1	CA2	HLA_B.39.01	0.013	458	0.069	0.679	0.919532679728315	0.998825943195549
All	1	CA2	HLA_B.39.06	0.006	458	0.415	0.857	0.628772086342667	0.998825943195549
All	1	CA2	HLA_B.39.10	0	458	-12084.317	78.15	0.990854433905362	0.998825943195549
All	1	CA2	HLA_B.40	0.067	458	0.149	0.27	0.582724905790133	0.998825943195549
All	1	CA2	HLA_B.40.01	0.05	458	0.309	0.305	0.311116755369681	0.998825943195549
All	1	CA2	HLA_B.40.02	0.015	458	-0.16	0.55	0.770685779551052	0.998825943195549
All	1	CA2	HLA_B.41	0.011	458	0.639	0.583	0.273737479050078	0.998825943195549
All	1	CA2	HLA_B.41.01	0.006	458	0.531	0.764	0.48731409374988	0.998825943195549
All	1	CA2	HLA_B.41.02	0.004	458	1.058	1.043	0.311357832299957	0.998825943195549
All	1	CA2	HLA_B.42	0	458	-467.674	18.238	0.992636338712952	0.998825943195549
All	1	CA2	HLA_B.42.01	0	458	-467.674	18.238	0.992636338712952	0.998825943195549
All	1	CA2	HLA_B.44	0.152	458	0.118	0.195	0.546522922600089	0.998825943195549
All	1	CA2	HLA_B.44.02	0.097	458	-0.043	0.24	0.859682020437301	0.998825943195549
All	1	CA2	HLA_B.44.03	0.051	458	0.321	0.305	0.294304420890271	0.998825943195549
All	1	CA2	HLA_B.44.05	0.004	458	0.541	1.007	0.591295074238287	0.998825943195549
All	1	CA2	HLA_B.45	0.002	458	0.85	1.321	0.520232645742548	0.998825943195549
All	1	CA2	HLA_B.45.01	0.002	458	0.85	1.321	0.520232645742548	0.998825943195549
All	1	CA2	HLA_B.49	0.014	458	0.02	0.596	0.973672902060909	0.998825943195549
All	1	CA2	HLA_B.49.01	0.014	458	0.02	0.596	0.973672902060909	0.998825943195549
All	1	CA2	HLA_B.50	0.009	458	0.134	0.675	0.843179564643737	0.998825943195549
All	1	CA2	HLA_B.50.01	0.008	458	-0.148	0.705	0.83351108966258	0.998825943195549
All	1	CA2	HLA_B.51	0.054	458	-0.401	0.293	0.171562373305715	0.998825943195549
All	1	CA2	HLA_B.51.01	0.051	458	-0.378	0.302	0.211256047626361	0.998825943195549
All	1	CA2	HLA_B.52	0.011	458	0.071	0.58	0.902094126638672	0.998825943195549
All	1	CA2	HLA_B.52.01	0.011	458	0.071	0.58	0.902094126638672	0.998825943195549
All	1	CA2	HLA_B.53	0.004	458	0.039	0.979	0.96811153475102	0.998825943195549
All	1	CA2	HLA_B.53.01	0.004	458	0.039	0.979	0.96811153475102	0.998825943195549
All	1	CA2	HLA_B.55	0.021	458	-1.085	0.505	0.0332384314800995	0.998825943195549
All	1	CA2	HLA_B.55.01	0.021	458	-1.085	0.505	0.0332384314800995	0.998825943195549
All	1	CA2	HLA_B.56	0.003	458	-1.784	1.447	0.220907221292479	0.998825943195549
All	1	CA2	HLA_B.56.01	0.003	458	-1.787	1.448	0.220234115227875	0.998825943195549
All	1	CA2	HLA_B.57	0.036	458	-0.01	0.363	0.97733133610426	0.998825943195549
All	1	CA2	HLA_B.57.01	0.035	458	0.01	0.37	0.977390677451243	0.998825943195549
All	1	CA2	HLA_B.57.03	0.001	458	-2.268	20.391	0.932202642009423	0.998825943195549
All	1	CA2	HLA_B.58	0.008	458	0.174	0.698	0.80376690100855	0.998825943195549
All	1	CA2	HLA_B.58.01	0.005	458	-0.437	0.817	0.592935029527843	0.998825943195549
All	1	CA2	HLA_B.58.02	0.002	458	1.671	1.305	0.201121221668557	0.998825943195549
All	1	CA2	HLA_B.81	0	458	5.573	26.924	0.997425989882628	0.998825943195549
All	1	CA2	HLA_B.81.01	0	458	5.573	26.924	0.997425989882628	0.998825943195549
All	1	CA2	HLA_C.01	0.027	458	-0.88	0.437	0.044760026537177	0.998825943195549
All	1	CA2	HLA_C.01.02	0.027	458	-0.88	0.437	0.044760026537177	0.998825943195549
All	1	CA2	HLA_C.02	0.046	458	0.045	0.318	0.88662196645197	0.998825943195549
All	1	CA2	HLA_C.02.02	0.045	458	0.049	0.321	0.879638616055712	0.998825943195549
All	1	CA2	HLA_C.02.10	0.001	458	-3180.184	12.425	0.990355209948072	0.998825943195549
All	1	CA2	HLA_C.03	0.119	458	-0.207	0.21	0.324712632372762	0.998825943195549
All	1	CA2	HLA_C.03.02	0.003	458	0.366	1.01	0.717129940282829	0.998825943195549
All	1	CA2	HLA_C.03.03	0.046	458	-0.653	0.337	0.0541139952968384	0.998825943195549
All	1	CA2	HLA_C.03.04	0.07	458	0.095	0.259	0.713707460641638	0.998825943195549
All	1	CA2	HLA_C.04	0.083	458	0.272	0.236	0.249462638775265	0.998825943195549
All	1	CA2	HLA_C.04.01	0.083	458	0.27	0.236	0.254512084929829	0.998825943195549
All	1	CA2	HLA_C.05	0.098	458	0.04	0.238	0.865053076869962	0.998825943195549
All	1	CA2	HLA_C.05.01	0.098	458	0.042	0.238	0.859984623775993	0.998825943195549
All	1	CA2	HLA_C.06	0.094	458	0.089	0.207	0.668499227985349	0.998825943195549
All	1	CA2	HLA_C.06.02	0.094	458	0.089	0.207	0.667882791397601	0.998825943195549
All	1	CA2	HLA_C.07	0.331	458	0.009	0.161	0.955471124505975	0.998825943195549
All	1	CA2	HLA_C.07.01	0.179	458	-0.083	0.227	0.715768814903021	0.998825943195549
All	1	CA2	HLA_C.07.02	0.137	458	-0.004	0.229	0.98776791384953	0.998825943195549
All	1	CA2	HLA_C.07.04	0.013	458	0.487	0.589	0.409878541867808	0.998825943195549
